20 trace_main_ent1.csv
Generating SQLite file profile_main_i32i32_ent1.sqlite from profile_main_i32i32_ent1.nsys-rep
Processing [profile_main_i32i32_ent1.sqlite] with [/opt/nvidia/nsight-compute/2025.4.1/host/target-linux-x64/reports/cuda_gpu_trace.py]... 
Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
529150544,18368,1198,32768,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,"void cub::_V_300400_SM_1000::detail::for_each::static_kernel<cub::_V_300400_SM_1000::detail::for_each::policy_selector, unsigned long, thrust::_V_300400_SM_1000::cuda_cub::__uninitialized_fill::functor<thrust::_V_300400_SM_1000::device_ptr<int>, int>>(T2, T3)"
529592753,19680,1803,32768,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,"void cub::_V_300400_SM_1000::detail::for_each::static_kernel<cub::_V_300400_SM_1000::detail::for_each::policy_selector, unsigned long, thrust::_V_300400_SM_1000::cuda_cub::__uninitialized_fill::functor<thrust::_V_300400_SM_1000::device_ptr<double>, double>>(T2, T3)"
533339068,126464,1817,64,1,1,64,1,1,32,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,"void generate_seed_pseudo<rng_config<curandStateXORWOW, (curandOrdering)101>>(unsigned long long, unsigned long long, unsigned long long, curandOrdering, curandStateXORWOW *, unsigned int *)"
535385025,118656,1824,64,1,1,64,1,1,32,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,"void gen_sequenced<curandStateXORWOW, double, int, &curand_uniform_double_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)"
535511617,33504,1842,32768,1,1,128,1,1,16,0.000,0.004,,,,,NVIDIA B200 (0),1,,7,"void cub::_V_300400_SM_1000::detail::transform::transform_kernel<cub::_V_300400_SM_1000::detail::transform::policy_selector_from_types<(bool)0, (bool)1, cuda::std::__4::tuple<const double *>, int *>, int, cub::_V_300400_SM_1000::detail::transform::always_true_predicate, cuda::__4::__callable_permitting_copied_arguments<<unnamed>::random_to_item_t<int>>, int *, const double *>(T2, int, bool, T3, T4, T5, cub::_V_300400_SM_1000::detail::transform::kernel_arg<T6>...)"
535921475,18464,1859,32768,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,"void cub::_V_300400_SM_1000::detail::for_each::static_kernel<cub::_V_300400_SM_1000::detail::for_each::policy_selector, unsigned long, thrust::_V_300400_SM_1000::cuda_cub::__uninitialized_fill::functor<thrust::_V_300400_SM_1000::device_ptr<int>, int>>(T2, T3)"
536085283,20160,1879,32768,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,"void cub::_V_300400_SM_1000::detail::for_each::static_kernel<cub::_V_300400_SM_1000::detail::for_each::policy_selector, unsigned long, thrust::_V_300400_SM_1000::cuda_cub::__uninitialized_fill::functor<thrust::_V_300400_SM_1000::device_ptr<double>, double>>(T2, T3)"
536196611,136705,1891,64,1,1,64,1,1,32,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,"void generate_seed_pseudo<rng_config<curandStateXORWOW, (curandOrdering)101>>(unsigned long long, unsigned long long, unsigned long long, curandOrdering, curandStateXORWOW *, unsigned int *)"
536343780,118560,1896,64,1,1,64,1,1,32,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,"void gen_sequenced<curandStateXORWOW, double, int, &curand_uniform_double_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)"
536461892,34496,1902,32768,1,1,128,1,1,16,0.000,0.004,,,,,NVIDIA B200 (0),1,,7,"void cub::_V_300400_SM_1000::detail::transform::transform_kernel<cub::_V_300400_SM_1000::detail::transform::policy_selector_from_types<(bool)0, (bool)1, cuda::std::__4::tuple<const double *>, int *>, int, cub::_V_300400_SM_1000::detail::transform::always_true_predicate, cuda::__4::__callable_permitting_copied_arguments<<unnamed>::random_to_item_t<int>>, int *, const double *>(T2, int, bool, T3, T4, T5, cub::_V_300400_SM_1000::detail::transform::kernel_arg<T6>...)"
