Generating SQLite file profile_main_v2_2p28_ent0p201.sqlite from profile_main_v2_2p28_ent0p201.nsys-rep
Processing [profile_main_v2_2p28_ent0p201.sqlite] with [/opt/nvidia/nsight-compute/2025.4.1/host/target-linux-x64/reports/cuda_gpu_trace.py]... 
Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
496684722,271809,1198,524288,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,"void cub::_V_300400_SM_1000::detail::for_each::static_kernel<cub::_V_300400_SM_1000::detail::for_each::policy_selector, unsigned long, thrust::_V_300400_SM_1000::cuda_cub::__uninitialized_fill::functor<thrust::_V_300400_SM_1000::device_ptr<int>, int>>(T2, T3)"
497608116,293696,1803,524288,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,"void cub::_V_300400_SM_1000::detail::for_each::static_kernel<cub::_V_300400_SM_1000::detail::for_each::policy_selector, unsigned long, thrust::_V_300400_SM_1000::cuda_cub::__uninitialized_fill::functor<thrust::_V_300400_SM_1000::device_ptr<double>, double>>(T2, T3)"
501459706,130720,1817,64,1,1,64,1,1,32,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,"void generate_seed_pseudo<rng_config<curandStateXORWOW, (curandOrdering)101>>(unsigned long long, unsigned long long, unsigned long long, curandOrdering, curandStateXORWOW *, unsigned int *)"
503327965,1857923,1824,64,1,1,64,1,1,32,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,"void gen_sequenced<curandStateXORWOW, double, int, &curand_uniform_double_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)"
505193376,457600,1842,524288,1,1,128,1,1,16,0.000,0.004,,,,,NVIDIA B200 (0),1,,7,"void cub::_V_300400_SM_1000::detail::transform::transform_kernel<cub::_V_300400_SM_1000::detail::transform::policy_selector_from_types<(bool)0, (bool)1, cuda::std::__4::tuple<const double *>, int *>, int, cub::_V_300400_SM_1000::detail::transform::always_true_predicate, cuda::__4::__callable_permitting_copied_arguments<<unnamed>::random_to_item_t<int>>, int *, const double *>(T2, int, bool, T3, T4, T5, cub::_V_300400_SM_1000::detail::transform::kernel_arg<T6>...)"
505950657,272704,1855,524288,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,"void cub::_V_300400_SM_1000::detail::for_each::static_kernel<cub::_V_300400_SM_1000::detail::for_each::policy_selector, unsigned long, thrust::_V_300400_SM_1000::cuda_cub::__uninitialized_fill::functor<thrust::_V_300400_SM_1000::device_ptr<int>, int>>(T2, T3)"
506236897,146977,1866,64,1,1,64,1,1,32,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,"void generate_seed_pseudo<rng_config<curandStateXORWOW, (curandOrdering)101>>(unsigned long long, unsigned long long, unsigned long long, curandOrdering, curandStateXORWOW *, unsigned int *)"
506394626,1853667,1871,64,1,1,64,1,1,32,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,"void gen_sequenced<curandStateXORWOW, double, int, &curand_uniform_double_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)"
508247781,456736,1877,524288,1,1,128,1,1,16,0.000,0.004,,,,,NVIDIA B200 (0),1,,7,"void cub::_V_300400_SM_1000::detail::transform::transform_kernel<cub::_V_300400_SM_1000::detail::transform::policy_selector_from_types<(bool)0, (bool)1, cuda::std::__4::tuple<const double *>, int *>, int, cub::_V_300400_SM_1000::detail::transform::always_true_predicate, cuda::__4::__callable_permitting_copied_arguments<<unnamed>::random_to_item_t<int>>, int *, const double *>(T2, int, bool, T3, T4, T5, cub::_V_300400_SM_1000::detail::transform::kernel_arg<T6>...)"
508732901,452321,1899,524288,1,1,128,1,1,16,0.000,0.004,,,,,NVIDIA B200 (0),1,,7,"void cub::_V_300400_SM_1000::detail::transform::transform_kernel<cub::_V_300400_SM_1000::detail::transform::policy_selector_from_types<(bool)0, (bool)1, cuda::std::__4::tuple<int *, int *>, int *>, int, cub::_V_300400_SM_1000::detail::transform::always_true_predicate, cuda::__4::__callable_permitting_copied_arguments<<unnamed>::and_t>, int *, int *, int *>(T2, int, bool, T3, T4, T5, cub::_V_300400_SM_1000::detail::transform::kernel_arg<T6>...)"
509194918,151648,1907,64,1,1,64,1,1,32,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,"void generate_seed_pseudo<rng_config<curandStateXORWOW, (curandOrdering)101>>(unsigned long long, unsigned long long, unsigned long long, curandOrdering, curandStateXORWOW *, unsigned int *)"
509356262,1853379,1912,64,1,1,64,1,1,32,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,"void gen_sequenced<curandStateXORWOW, double, int, &curand_uniform_double_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)"
511209161,456385,1918,524288,1,1,128,1,1,16,0.000,0.004,,,,,NVIDIA B200 (0),1,,7,"void cub::_V_300400_SM_1000::detail::transform::transform_kernel<cub::_V_300400_SM_1000::detail::transform::policy_selector_from_types<(bool)0, (bool)1, cuda::std::__4::tuple<const double *>, int *>, int, cub::_V_300400_SM_1000::detail::transform::always_true_predicate, cuda::__4::__callable_permitting_copied_arguments<<unnamed>::random_to_item_t<int>>, int *, const double *>(T2, int, bool, T3, T4, T5, cub::_V_300400_SM_1000::detail::transform::kernel_arg<T6>...)"
511675434,450657,1928,524288,1,1,128,1,1,16,0.000,0.004,,,,,NVIDIA B200 (0),1,,7,"void cub::_V_300400_SM_1000::detail::transform::transform_kernel<cub::_V_300400_SM_1000::detail::transform::policy_selector_from_types<(bool)0, (bool)1, cuda::std::__4::tuple<int *, int *>, int *>, int, cub::_V_300400_SM_1000::detail::transform::always_true_predicate, cuda::__4::__callable_permitting_copied_arguments<<unnamed>::and_t>, int *, int *, int *>(T2, int, bool, T3, T4, T5, cub::_V_300400_SM_1000::detail::transform::kernel_arg<T6>...)"
512135467,155520,1936,64,1,1,64,1,1,32,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,"void generate_seed_pseudo<rng_config<curandStateXORWOW, (curandOrdering)101>>(unsigned long long, unsigned long long, unsigned long long, curandOrdering, curandStateXORWOW *, unsigned int *)"
512299563,1853635,1941,64,1,1,64,1,1,32,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,"void gen_sequenced<curandStateXORWOW, double, int, &curand_uniform_double_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)"
514152718,456769,1947,524288,1,1,128,1,1,16,0.000,0.004,,,,,NVIDIA B200 (0),1,,7,"void cub::_V_300400_SM_1000::detail::transform::transform_kernel<cub::_V_300400_SM_1000::detail::transform::policy_selector_from_types<(bool)0, (bool)1, cuda::std::__4::tuple<const double *>, int *>, int, cub::_V_300400_SM_1000::detail::transform::always_true_predicate, cuda::__4::__callable_permitting_copied_arguments<<unnamed>::random_to_item_t<int>>, int *, const double *>(T2, int, bool, T3, T4, T5, cub::_V_300400_SM_1000::detail::transform::kernel_arg<T6>...)"
514618639,450496,1957,524288,1,1,128,1,1,16,0.000,0.004,,,,,NVIDIA B200 (0),1,,7,"void cub::_V_300400_SM_1000::detail::transform::transform_kernel<cub::_V_300400_SM_1000::detail::transform::policy_selector_from_types<(bool)0, (bool)1, cuda::std::__4::tuple<int *, int *>, int *>, int, cub::_V_300400_SM_1000::detail::transform::always_true_predicate, cuda::__4::__callable_permitting_copied_arguments<<unnamed>::and_t>, int *, int *, int *>(T2, int, bool, T3, T4, T5, cub::_V_300400_SM_1000::detail::transform::kernel_arg<T6>...)"
515077871,147809,1965,64,1,1,64,1,1,32,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,"void generate_seed_pseudo<rng_config<curandStateXORWOW, (curandOrdering)101>>(unsigned long long, unsigned long long, unsigned long long, curandOrdering, curandStateXORWOW *, unsigned int *)"
515234768,1853347,1970,64,1,1,64,1,1,32,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,"void gen_sequenced<curandStateXORWOW, double, int, &curand_uniform_double_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)"
517087635,456704,1976,524288,1,1,128,1,1,16,0.000,0.004,,,,,NVIDIA B200 (0),1,,7,"void cub::_V_300400_SM_1000::detail::transform::transform_kernel<cub::_V_300400_SM_1000::detail::transform::policy_selector_from_types<(bool)0, (bool)1, cuda::std::__4::tuple<const double *>, int *>, int, cub::_V_300400_SM_1000::detail::transform::always_true_predicate, cuda::__4::__callable_permitting_copied_arguments<<unnamed>::random_to_item_t<int>>, int *, const double *>(T2, int, bool, T3, T4, T5, cub::_V_300400_SM_1000::detail::transform::kernel_arg<T6>...)"
517554419,450561,1986,524288,1,1,128,1,1,16,0.000,0.004,,,,,NVIDIA B200 (0),1,,7,"void cub::_V_300400_SM_1000::detail::transform::transform_kernel<cub::_V_300400_SM_1000::detail::transform::policy_selector_from_types<(bool)0, (bool)1, cuda::std::__4::tuple<int *, int *>, int *>, int, cub::_V_300400_SM_1000::detail::transform::always_true_predicate, cuda::__4::__callable_permitting_copied_arguments<<unnamed>::and_t>, int *, int *, int *>(T2, int, bool, T3, T4, T5, cub::_V_300400_SM_1000::detail::transform::kernel_arg<T6>...)"
519467350,272993,2004,524288,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,"void cub::_V_300400_SM_1000::detail::for_each::static_kernel<cub::_V_300400_SM_1000::detail::for_each::policy_selector, unsigned long, thrust::_V_300400_SM_1000::cuda_cub::__uninitialized_fill::functor<thrust::_V_300400_SM_1000::device_ptr<int>, int>>(T2, T3)"
520023767,294305,2024,524288,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,"void cub::_V_300400_SM_1000::detail::for_each::static_kernel<cub::_V_300400_SM_1000::detail::for_each::policy_selector, unsigned long, thrust::_V_300400_SM_1000::cuda_cub::__uninitialized_fill::functor<thrust::_V_300400_SM_1000::device_ptr<double>, double>>(T2, T3)"
520740184,135681,2036,64,1,1,64,1,1,32,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,"void generate_seed_pseudo<rng_config<curandStateXORWOW, (curandOrdering)101>>(unsigned long long, unsigned long long, unsigned long long, curandOrdering, curandStateXORWOW *, unsigned int *)"
520885241,1858403,2041,64,1,1,64,1,1,32,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,"void gen_sequenced<curandStateXORWOW, double, int, &curand_uniform_double_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)"
522743164,457408,2047,524288,1,1,128,1,1,16,0.000,0.004,,,,,NVIDIA B200 (0),1,,7,"void cub::_V_300400_SM_1000::detail::transform::transform_kernel<cub::_V_300400_SM_1000::detail::transform::policy_selector_from_types<(bool)0, (bool)1, cuda::std::__4::tuple<const double *>, int *>, int, cub::_V_300400_SM_1000::detail::transform::always_true_predicate, cuda::__4::__callable_permitting_copied_arguments<<unnamed>::random_to_item_t<int>>, int *, const double *>(T2, int, bool, T3, T4, T5, cub::_V_300400_SM_1000::detail::transform::kernel_arg<T6>...)"
524700479,27232,2084,,,,,,,,,,132.645,4870852.051,Device,,NVIDIA B200 (0),1,,13,[CUDA memset]
524749663,2176,2093,,,,,,,,,,0.009,4117.640,Device,,NVIDIA B200 (0),1,,13,[CUDA memset]
