workload                     | b time us s time us   b/s | b reg s reg | b smem s smem | b occ% s occ% | b dram% s dram%
------------------------------------------------------------------------------------------------------------------------
E= 2^16 k=  2^3 ent=1.000    |      13.7      11.2  1.23 |    32    30 |   9344   9344 |   24.8   24.8 |     0.1     0.2
E= 2^20 k=  2^3 ent=1.000    |      14.2      15.3  0.93 |    32    30 |   9344   9344 |   46.7   44.7 |     1.9     1.8
E= 2^24 k=  2^3 ent=1.000    |      36.9      32.9  1.12 |    32    30 |   9344   9344 |   87.9   84.1 |    11.9    13.3
E= 2^28 k=  2^3 ent=1.000    |     409.1     330.8  1.24 |    32    30 |   9344   9344 |   81.1   80.4 |    17.1    21.2
E= 2^16 k=  2^8 ent=1.000    |      12.8      10.5  1.22 |    32    30 |   9344   9344 |   24.7   24.6 |     0.1     0.2
E= 2^20 k=  2^8 ent=1.000    |      14.3      14.2  1.00 |    32    30 |   9344   9344 |   45.1   45.1 |     1.9     1.9
E= 2^24 k=  2^8 ent=1.000    |      36.9      32.5  1.13 |    32    30 |   9344   9344 |   88.1   84.1 |    11.9    13.5
E= 2^28 k=  2^8 ent=1.000    |     406.8     333.3  1.22 |    32    30 |   9344   9344 |   81.1   80.2 |    17.2    21.0
E= 2^16 k= 2^13 ent=1.000    |      14.0      11.6  1.21 |    32    30 |   9344   9344 |   24.8   24.6 |     0.1     0.2
E= 2^20 k= 2^13 ent=1.000    |      14.3      17.0  0.84 |    32    30 |   9344   9344 |   45.6   45.1 |     1.9     1.6
E= 2^24 k= 2^13 ent=1.000    |      36.6      33.1  1.11 |    32    30 |   9344   9344 |   87.9   84.6 |    12.0    13.2
E= 2^28 k= 2^13 ent=1.000    |     405.5     335.1  1.21 |    32    30 |   9344   9344 |   81.0   80.2 |    17.3    20.9
E= 2^20 k= 2^18 ent=1.000    |      14.3      18.5  0.78 |    32    30 |   9344   9344 |   43.9   45.6 |     1.9     1.5
E= 2^24 k= 2^18 ent=1.000    |      37.9      32.9  1.15 |    32    30 |   9344   9344 |   88.0   84.0 |    11.6    13.3
E= 2^28 k= 2^18 ent=1.000    |     405.2     330.8  1.22 |    32    30 |   9344   9344 |   81.0   80.3 |    17.3    21.2
E= 2^24 k= 2^23 ent=1.000    |      37.0      32.4  1.14 |    32    30 |   9344   9344 |   87.7   84.9 |    11.8    13.5
E= 2^28 k= 2^23 ent=1.000    |     406.3     336.4  1.21 |    32    30 |   9344   9344 |   81.0   80.3 |    17.2    20.8
E= 2^16 k=  2^3 ent=0.201    |      13.5      10.9  1.24 |    32    30 |   9344   9344 |   24.6   24.6 |     0.1     0.2
E= 2^20 k=  2^3 ent=0.201    |      14.4      13.4  1.08 |    32    30 |   9344   9344 |   44.6   43.6 |     1.9     2.1
E= 2^24 k=  2^3 ent=0.201    |      39.6      34.8  1.14 |    32    30 |   9344   9344 |   85.2   81.9 |    11.1    12.6
E= 2^28 k=  2^3 ent=0.201    |     441.4     377.3  1.17 |    32    30 |   9344   9344 |   79.9   79.1 |    15.9    18.6
E= 2^16 k=  2^8 ent=0.201    |      13.6      11.3  1.20 |    32    30 |   9344   9344 |   24.5   24.6 |     0.1     0.2
E= 2^20 k=  2^8 ent=0.201    |      14.0      13.0  1.07 |    32    30 |   9344   9344 |   45.4   43.7 |     2.0     2.1
E= 2^24 k=  2^8 ent=0.201    |      40.3      35.2  1.15 |    32    30 |   9344   9344 |   85.3   82.0 |    10.9    12.5
E= 2^28 k=  2^8 ent=0.201    |     438.0     379.5  1.15 |    32    30 |   9344   9344 |   80.0   79.1 |    16.0    18.4
