workload                     | b time us s time us   b/s | b reg s reg | b smem s smem | b occ% s occ% | b dram% s dram%
------------------------------------------------------------------------------------------------------------------------
E= 2^16 k=  2^3 ent=1.000    |      14.3      11.2  1.28 |    26    30 |   9344   9344 |   24.8   24.8 |     0.1     0.2
E= 2^20 k=  2^3 ent=1.000    |      15.0      15.3  0.99 |    26    30 |   9344   9344 |   46.0   44.7 |     1.8     1.8
E= 2^24 k=  2^3 ent=1.000    |      39.3      32.9  1.20 |    26    30 |   9344   9344 |   88.4   84.1 |    11.2    13.3
E= 2^28 k=  2^3 ent=1.000    |     442.2     330.8  1.34 |    26    30 |   9344   9344 |   83.1   80.4 |    15.8    21.2
E= 2^16 k=  2^8 ent=1.000    |      13.5      10.5  1.28 |    26    30 |   9344   9344 |   24.7   24.6 |     0.1     0.2
E= 2^20 k=  2^8 ent=1.000    |      15.2      14.2  1.07 |    26    30 |   9344   9344 |   44.3   45.1 |     1.8     1.9
E= 2^24 k=  2^8 ent=1.000    |      39.5      32.5  1.21 |    26    30 |   9344   9344 |   88.3   84.1 |    11.1    13.5
E= 2^28 k=  2^8 ent=1.000    |     441.6     333.3  1.33 |    26    30 |   9344   9344 |   83.0   80.2 |    15.8    21.0
E= 2^16 k= 2^13 ent=1.000    |      14.1      11.6  1.22 |    26    30 |   9344   9344 |   24.8   24.6 |     0.1     0.2
E= 2^20 k= 2^13 ent=1.000    |      14.8      17.0  0.87 |    26    30 |   9344   9344 |   43.6   45.1 |     1.9     1.6
E= 2^24 k= 2^13 ent=1.000    |      38.7      33.1  1.17 |    26    30 |   9344   9344 |   87.9   84.6 |    11.3    13.2
E= 2^28 k= 2^13 ent=1.000    |     448.1     335.1  1.34 |    26    30 |   9344   9344 |   82.9   80.2 |    15.6    20.9
E= 2^20 k= 2^18 ent=1.000    |      14.8      18.5  0.80 |    26    30 |   9344   9344 |   42.7   45.6 |     1.9     1.5
E= 2^24 k= 2^18 ent=1.000    |      39.2      32.9  1.19 |    26    30 |   9344   9344 |   87.6   84.0 |    11.2    13.3
E= 2^28 k= 2^18 ent=1.000    |     440.0     330.8  1.33 |    26    30 |   9344   9344 |   83.0   80.3 |    15.9    21.2
E= 2^24 k= 2^23 ent=1.000    |      39.3      32.4  1.21 |    26    30 |   9344   9344 |   88.2   84.9 |    11.2    13.5
E= 2^28 k= 2^23 ent=1.000    |     445.1     336.4  1.32 |    26    30 |   9344   9344 |   82.9   80.3 |    15.7    20.8
E= 2^16 k=  2^3 ent=0.201    |      14.2      10.9  1.31 |    26    30 |   9344   9344 |   24.5   24.6 |     0.1     0.2
E= 2^20 k=  2^3 ent=0.201    |      14.9      13.4  1.12 |    26    30 |   9344   9344 |   43.3   43.6 |     1.9     2.1
E= 2^24 k=  2^3 ent=0.201    |      42.7      34.8  1.23 |    26    30 |   9344   9344 |   86.4   81.9 |    10.3    12.6
E= 2^28 k=  2^3 ent=0.201    |     479.2     377.3  1.27 |    26    30 |   9344   9344 |   82.2   79.1 |    14.6    18.6
E= 2^16 k=  2^8 ent=0.201    |      14.2      11.3  1.26 |    26    30 |   9344   9344 |   24.6   24.6 |     0.1     0.2
E= 2^20 k=  2^8 ent=0.201    |      14.6      13.0  1.12 |    26    30 |   9344   9344 |   43.5   43.7 |     1.9     2.1
E= 2^24 k=  2^8 ent=0.201    |      42.0      35.2  1.19 |    26    30 |   9344   9344 |   86.5   82.0 |    10.4    12.5
E= 2^28 k=  2^8 ent=0.201    |     482.0     379.5  1.27 |    26    30 |   9344   9344 |   82.2   79.1 |    14.5    18.4
E= 2^16 k= 2^13 ent=0.201    |      14.8      12.0  1.23 |    26    30 |   9344   9344 |   24.5   24.6 |     0.1     0.2
E= 2^20 k= 2^13 ent=0.201    |      14.0      13.5  1.04 |    26    30 |   9344   9344 |   43.0   43.9 |     2.0     2.1
E= 2^24 k= 2^13 ent=0.201    |      41.6      35.6  1.17 |    26    30 |   9344   9344 |   86.4   82.1 |    10.5    12.3
E= 2^28 k= 2^13 ent=0.201    |     475.6     377.3  1.26 |    26    30 |   9344   9344 |   82.2   79.1 |    14.7    18.6
E= 2^20 k= 2^18 ent=0.201    |      15.5      14.0  1.11 |    26    30 |   9344   9344 |   47.2   44.2 |     1.8     2.0
E= 2^24 k= 2^18 ent=0.201    |      41.7      35.6  1.17 |    26    30 |   9344   9344 |   86.4   82.4 |    10.5    12.3
E= 2^28 k= 2^18 ent=0.201    |     478.5     377.5  1.27 |    26    30 |   9344   9344 |   82.2   79.1 |    14.6    18.6
E= 2^24 k= 2^23 ent=0.201    |      41.8      35.1  1.19 |    26    30 |   9344   9344 |   86.5   82.3 |    10.5    12.5
E= 2^28 k= 2^23 ent=0.201    |     481.1     378.9  1.27 |    26    30 |   9344   9344 |   82.2   79.1 |    14.6    18.5
E= 2^16 k=  2^3 ent=0.000    |      13.3      10.7  1.24 |    26    30 |   9344   9344 |   24.3   24.7 |     0.1     0.2
E= 2^20 k=  2^3 ent=0.000    |      12.6      11.5  1.10 |    26    30 |   9344   9344 |   45.9   42.7 |     2.2     2.4
E= 2^24 k=  2^3 ent=0.000    |      31.2      25.9  1.20 |    26    30 |   9344   9344 |   86.4   86.7 |    14.1    16.9
E= 2^28 k=  2^3 ent=0.000    |     335.8     225.5  1.49 |    26    30 |   9344   9344 |   82.0   81.8 |    20.9    31.1
E= 2^16 k=  2^8 ent=0.000    |      13.2      10.6  1.25 |    26    30 |   9344   9344 |   23.9   24.7 |     0.1     0.2
E= 2^20 k=  2^8 ent=0.000    |      13.4      11.7  1.15 |    26    30 |   9344   9344 |   46.0   42.6 |     2.1     2.4
E= 2^24 k=  2^8 ent=0.000    |      31.0      25.1  1.23 |    26    30 |   9344   9344 |   87.1   86.0 |    14.2    17.5
E= 2^28 k=  2^8 ent=0.000    |     335.0     229.1  1.46 |    26    30 |   9344   9344 |   81.9   81.8 |    20.9    30.6
E= 2^16 k= 2^13 ent=0.000    |      13.1      11.5  1.14 |    26    30 |   9344   9344 |   24.6   24.6 |     0.1     0.2
E= 2^20 k= 2^13 ent=0.000    |      12.9      11.0  1.17 |    26    30 |   9344   9344 |   47.8   42.5 |     2.1     2.5
E= 2^24 k= 2^13 ent=0.000    |      31.8      25.5  1.25 |    26    30 |   9344   9344 |   86.4   85.5 |    13.8    17.2
E= 2^28 k= 2^13 ent=0.000    |     337.6     229.7  1.47 |    26    30 |   9344   9344 |   81.9   81.5 |    20.7    30.5
E= 2^20 k= 2^18 ent=0.000    |      12.7      10.9  1.16 |    26    30 |   9344   9344 |   46.8   42.6 |     2.2     2.5
E= 2^24 k= 2^18 ent=0.000    |      31.4      25.6  1.22 |    26    30 |   9344   9344 |   86.0   85.9 |    14.0    17.1
E= 2^28 k= 2^18 ent=0.000    |     338.1     228.6  1.48 |    26    30 |   9344   9344 |   82.0   81.5 |    20.7    30.6
E= 2^24 k= 2^23 ent=0.000    |      31.1      26.1  1.19 |    26    30 |   9344   9344 |   86.6   86.0 |    14.1    16.8
E= 2^28 k= 2^23 ent=0.000    |     336.9     228.9  1.47 |    26    30 |   9344   9344 |   82.0   81.8 |    20.8    30.6

summary: total batched time 7154.3 us, total single time 5431.6 us, ratio 1.317x
