   SegSize      K  NSeg Pattern                GPU_us
    131072    512     1 random                  51.03
    131072    512     8 random                  52.88
    131072    512    32 random                  69.72
    131072   1024     1 random                  49.55
    131072   1024     8 random                  53.04
    131072   1024    32 random                  67.69
    131072   2048     1 random                  47.07
    131072   2048     8 random                  54.66
    131072   2048    32 random                  67.42
    262144    512     1 random                  45.08
    262144    512     8 random                  55.46
    262144    512    32 random                  83.99
    262144   1024     1 random                  47.33
    262144   1024     8 random                  53.40
    262144   1024    32 random                  84.17
    262144   2048     1 random                  47.51
    262144   2048     8 random                  55.45
    262144   2048    32 random                  82.35
    524288    512     1 random                  52.63
    524288    512     8 random                  61.14
    524288    512    32 random                 113.71
    524288   1024     1 random                  45.29
    524288   1024     8 random                  61.39
    524288   1024    32 random                 115.75
    524288   2048     1 random                  45.06
    524288   2048     8 random                  60.59
    524288   2048    32 random                 118.18
   1048576    512     1 random                  51.59
   1048576    512     8 random                  67.42
   1048576    512    32 random                 175.04
   1048576   1024     1 random                  51.22
   1048576   1024     8 random                  69.06
   1048576   1024    32 random                 181.43
   1048576   2048     1 random                  51.21
   1048576   2048     8 random                  72.90
   1048576   2048    32 random                 187.96
